model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,NB11e_all_multimodal__fusion_composite_blockstats__XGBoost,buildings_v2,0.8129898087350882,480313,19,5,7181,1,473126,False,False,multimodal_all,multimodal
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200,buildings_v2,0.8129650148492336,480313,19,5518,1668,96507,376620,False,False,multimodal_all,multimodal
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA,buildings_v2,0.812950275102468,598595,21,5657,1675,137435,453828,False,False,SAR_card_only,SAR
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,NB11e_all_multimodal__fusion_composite_blockstats__RF-200,buildings_v2,0.8128563028225559,480313,19,5516,1670,96442,376685,False,False,multimodal_all,multimodal
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA-Optuna,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA,buildings_v2,0.8120264235269727,438885,16,5476,1298,109652,322459,False,False,other,other
R5_ExtraTrees_dietrich28,nb09a;cell=R5,buildings_v2,0.8111518470397765,598595,21,1745,5587,17233,574030,False,False,other,other
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees,buildings_v2,0.8106303147419311,480313,19,5674,1512,104331,368796,False,False,multimodal_all,multimodal
B0_single_s1_coh_max_dropM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.8091917870692514,598595,21,6907,425,266855,324408,False,False,SAR_coh_unsupervised,SAR
B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,buildings_v2,0.8076423199416678,480313,19,50,7136,363,472764,False,False,multimodal_all,multimodal
R5_XGBoost_all_multimodal,nb09a;cell=R5,buildings_v2,0.8054271454442101,480313,19,7,7179,5,473122,False,False,multimodal_all,multimodal
R5_GBM_dietrich28,nb09a;cell=R5,buildings_v2,0.8048063804585743,598595,21,156,7176,20888,570375,False,False,other,other
NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA-Optuna,NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA,buildings_v2,0.8037406151861222,598595,21,5588,1744,158891,432372,False,False,SAR_card_only,SAR
NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA-Optuna,NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA,buildings_v2,0.80282767828994,480313,19,5224,1962,105039,368088,False,False,other,other
NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA-Optuna,NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA,buildings_v2,0.8004917216659956,584986,20,5025,1876,126566,451519,False,False,SAR_coh_only,SAR
CLF_A17_GBM,classifier=GBM;parquet=A17,buildings_v2,0.7989497237763689,598595,21,32,7300,180,591083,False,False,multimodal_all,multimodal
CLF_F7_GBM,classifier=GBM;parquet=F7,buildings_v2,0.798507187093856,480313,19,27,7159,469,472658,False,False,multimodal_all,multimodal
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA-Optuna,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA,buildings_v2,0.79550493929645,438885,16,4935,1839,103028,329083,False,False,MS_only,MS
CLF_A17_LightGBM,classifier=LightGBM;parquet=A17,buildings_v2,0.7943860402372268,598595,21,4273,3059,106730,484533,False,False,multimodal_all,multimodal
B6_AdaBoost_alone,uisem_sub_classifier;classifier=AdaBoost;features=all_multimodal,buildings_v2,0.7936905409658794,480313,19,0,7186,0,473127,False,True,multimodal_all,multimodal
NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200-Optuna,NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200,buildings_v2,0.793659201281211,480313,19,5534,1652,112090,361037,False,False,MS_only,MS
R5_LightGBM_all_multimodal,nb09a;cell=R5,buildings_v2,0.7920682414235619,480313,19,5536,1650,100175,372952,False,False,multimodal_all,multimodal
NB11c_A20_ms_change__ms_change__LightGBM-MIA-Optuna,NB11c_A20_ms_change__ms_change__LightGBM-MIA,buildings_v2,0.7862365624514439,569622,20,3836,441,239896,325449,False,False,MS_only,MS
B0_single_s1_coh_max_dropX,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.7854384958274554,598595,21,6773,559,266270,324993,False,False,SAR_coh_unsupervised,SAR
R5_ExtraTrees_all_multimodal,nb09a;cell=R5,buildings_v2,0.7845573609750085,480313,19,5100,2086,88156,384971,False,False,multimodal_all,multimodal
R1_random_cv,nb09a;cell=R1,buildings_v2,0.7828202498947672,598595,21,391,6941,1509,589754,False,False,other,other
E7c_HistGBM_imputed,tree_ensemble;classifier=HistGBM;imputation=median,buildings_v2,0.7826012775509006,387066,15,1212,883,66198,318773,False,False,other,other
R3_card_block_stats_A15,nb09a;cell=R3,buildings_v2,0.7823869548078545,598595,21,5095,2237,88157,503106,False,False,other,other
R5_RF-200_all_multimodal,nb09a;cell=R5,buildings_v2,0.7736753534008248,480313,19,5091,2095,88156,384971,False,False,multimodal_all,multimodal
R3_ms_plus_blocks_F8,nb09a;cell=R3,buildings_v2,0.7736753529596343,480313,19,5091,2095,88156,384971,False,False,other,other
E7d_MLP_256_128_64,mlp;classifier=MLP_256_128_64,buildings_v2,0.7724281894115831,387066,15,2,2093,97,384874,False,False,other,other
R3_ms_plus_cohdrop_F7,nb09a;cell=R3,buildings_v2,0.7719922317393865,466704,18,4662,2093,74981,384968,False,False,other,other
R3_ms_only_A9,nb09a;cell=R3,buildings_v2,0.7612317905914092,480313,19,5093,2093,88160,384967,False,False,MS_only,MS
E5_HistGBM_native_NaN,histgbm_native_nan;imputation=none,buildings_v2,0.7595608215202697,387066,15,1141,954,66201,318770,False,False,other,other
CLF_F7_XGBoost,classifier=XGBoost;parquet=F7,buildings_v2,0.7551786404203917,480313,19,419,6767,1302,471825,False,False,multimodal_all,multimodal
E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,buildings_v2,0.7535045534130647,387066,15,52,2043,4742,380229,False,False,multimodal_all,multimodal
NB08b_BDA_RGB+CARD_LogReg,dataset=BDA;feature_set=RGB+CARD;classifier=LogReg,buildings_v2,0.7506362133169763,598595,21,4507,2825,157218,434045,False,False,multimodal_SAR+MS,multimodal
NB08b_BDA_RGB_ExtraTrees,dataset=BDA;feature_set=RGB;classifier=ExtraTrees,buildings_v2,0.7503258911816039,598595,21,3703,3629,110281,480982,False,False,MS_only,MS
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LogReg,buildings_v2,0.7483272546189619,205942,12,3464,2680,39728,160070,False,False,SAR_coh_unsupervised,SAR
CLF_A17_XGBoost,classifier=XGBoost;parquet=A17,buildings_v2,0.7443661757821636,598595,21,329,7003,1764,589499,False,False,multimodal_all,multimodal
E7b_RidgeClassifier,probabilistic;classifier=RidgeClassifier,buildings_v2,0.740155972074616,387066,15,1280,815,97863,287108,False,False,other,other
B5_UISEM_all_features,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal,buildings_v2,0.7395001445725922,480313,19,38,7148,112,473015,False,False,multimodal_all,multimodal
NB08b_BDA_COH_DROP+RGB_LogReg,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LogReg,buildings_v2,0.7391496767529475,205942,12,3196,2948,29657,170141,False,False,SAR_coh_unsupervised,SAR
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=AdaBoost,buildings_v2,0.738145489916821,205942,12,0,6144,0,199798,False,True,SAR_coh_unsupervised,SAR
NB08b_BDA_RGB_RF-200,dataset=BDA;feature_set=RGB;classifier=RF-200,buildings_v2,0.7375270228738773,598595,21,3930,3402,118368,472895,False,False,MS_only,MS
NB08b_BDA_RGB+CARD_AdaBoost,dataset=BDA;feature_set=RGB+CARD;classifier=AdaBoost,buildings_v2,0.7373420349746298,598595,21,0,7332,0,591263,False,True,multimodal_SAR+MS,multimodal
B5_sub_XGB,uisem_sub_classifier;classifier=XGBoost;features=all_multimodal,buildings_v2,0.7351607455623612,480313,19,233,6953,1041,472086,False,False,multimodal_all,multimodal
B7_UISEM_card_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card_only,buildings_v2,0.7336402829726092,480313,19,91,7095,293,472834,False,False,SAR_card_only,SAR
NB08b_BDA_RGB+CARD_ExtraTrees,dataset=BDA;feature_set=RGB+CARD;classifier=ExtraTrees,buildings_v2,0.732911756113963,598595,21,2003,5329,31426,559837,False,False,multimodal_SAR+MS,multimodal
NB08b_BDA_COH_DROP+RGB_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=AdaBoost,buildings_v2,0.7308881099141904,205942,12,0,6144,0,199798,False,True,SAR_coh_unsupervised,SAR
NB08b_BDA_RGB_LogReg,dataset=BDA;feature_set=RGB;classifier=LogReg,buildings_v2,0.7307332909867456,598595,21,3367,3965,79709,511554,False,False,MS_only,MS
NB08b_BDA_RGB_LightGBM,dataset=BDA;feature_set=RGB;classifier=LightGBM,buildings_v2,0.7306397313853406,598595,21,4643,2689,162300,428963,False,False,MS_only,MS
R0c_roll3_assessment_only,nb09a;cell=R0c,buildings_v2,0.7249721453998722,598595,21,4566,2766,72260,519003,False,False,other,other
E2_LightGBM_card,lightgbm_sensor_ablation;sensor=card,buildings_v2,0.7207604318259747,387066,15,684,1411,23763,361208,False,False,SAR_card_only,SAR
CLF_F7_ExtraTrees,classifier=ExtraTrees;parquet=F7,buildings_v2,0.7201487833628313,480313,19,333,6853,19016,454111,False,False,multimodal_all,multimodal
E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,buildings_v2,0.7196988932290961,387066,15,713,1382,26931,358040,False,False,SAR_card+coh,SAR
D1i_allblocks_random,random_cv,buildings_v2,0.7196602063802726,598595,21,685,6647,33741,557522,True,False,other,other
NB08b_BDA_RGB_UISEM_voting,dataset=BDA;feature_set=RGB;classifier=UISEM_voting,buildings_v2,0.7194379004271197,598595,21,8,7324,31,591232,False,False,MS_only,MS
E2_LightGBM_all,lightgbm;features=all_multimodal,buildings_v2,0.719329422383606,387066,15,631,1464,16544,368427,False,False,multimodal_all,multimodal
E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,buildings_v2,0.719329422383606,387066,15,631,1464,16544,368427,False,False,multimodal_all,multimodal
B7_UISEM_card+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+ms,buildings_v2,0.7162411901555579,480313,19,41,7145,114,473013,False,False,other,other
E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,buildings_v2,0.715776332010106,387066,15,623,1472,15397,369574,False,False,multimodal_all,multimodal
E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,buildings_v2,0.715776332010106,387066,15,623,1472,15397,369574,False,False,other,other
E7d_MLP_128_64,mlp;classifier=MLP_128_64,buildings_v2,0.7153629115379109,387066,15,0,2095,34,384937,False,False,other,other
E6_B_nativeNaN_card+coh,nan_ablation;strategy=B_native_nan;modality=card+coh,buildings_v2,0.7133251483983398,387066,15,701,1394,26356,358615,False,False,SAR_card+coh,SAR
NB08b_BDA_RGB_AdaBoost,dataset=BDA;feature_set=RGB;classifier=AdaBoost,buildings_v2,0.7120745482232277,598595,21,0,7332,0,591263,False,True,MS_only,MS
E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,buildings_v2,0.7107733515605791,387066,15,695,1400,23500,361471,False,False,SAR_card_only,SAR
CLF_A9_LightGBM,classifier=LightGBM;parquet=A9,buildings_v2,0.7104707759919224,480313,19,2815,4371,81345,391782,False,False,other,other
NB08b_BDA_RGB+CARD_LightGBM,dataset=BDA;feature_set=RGB+CARD;classifier=LightGBM,buildings_v2,0.7062172039046868,598595,21,3854,3478,119533,471730,False,False,multimodal_SAR+MS,multimodal
B6_UISEM_no_AdaBoost,uisem_ensemble;sub=RF+GB+XGB;features=all_multimodal;ablation=no_adaboost,buildings_v2,0.702445937832879,480313,19,42,7144,129,472998,False,False,multimodal_all,multimodal
B7_UISEM_all_multimodal,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=all_multimodal,buildings_v2,0.7024458169466371,480313,19,42,7144,129,472998,False,False,multimodal_all,multimodal
ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,buildings_v2,0.7017172315962816,480313,19,4157,3029,106620,366507,False,False,multimodal_all,multimodal
ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,buildings_v2,0.7017172315962816,480313,19,4157,3029,106620,366507,False,False,SAR_coh_only,SAR
CLF_A17_ExtraTrees,classifier=ExtraTrees;parquet=A17,buildings_v2,0.6996373265718304,598595,21,738,6594,33964,557299,False,False,multimodal_all,multimodal
R0c_roll3_baseline+assessment,nb09a;cell=R0c,buildings_v2,0.6976463614886139,598595,21,138,7194,2668,588595,False,False,other,other
B7_UISEM_card+coh,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh,buildings_v2,0.6969886391833461,480313,19,45,7141,167,472960,False,False,SAR_card+coh,SAR
B7_UISEM_card+coh+delta,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh+delta,buildings_v2,0.6969886391833461,480313,19,45,7141,167,472960,False,False,SAR_card+coh,SAR
NB08b_BDA_CARD_LogReg,dataset=BDA;feature_set=CARD;classifier=LogReg,buildings_v2,0.6932105872848352,368288,21,4260,2171,139553,222304,False,False,other,other
NB08b_BDA_COH_DROP+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LogReg,buildings_v2,0.6924227848900644,130789,12,3101,2326,33701,91661,False,False,SAR_coh_unsupervised,SAR
B7_UISEM_coh+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh+ms,buildings_v2,0.688314854706523,480313,19,44,7142,151,472976,False,False,other,other
NB08b_BDA_COH_DROP+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=AdaBoost,buildings_v2,0.686816432348238,130789,12,0,5427,0,125362,False,True,SAR_coh_unsupervised,SAR
E7b_LDA,discriminant;classifier=LDA,buildings_v2,0.6858962212130549,387066,15,316,1779,6510,378461,False,False,other,other
E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,buildings_v2,0.6852765260209384,387066,15,29,2066,71,384900,False,False,other,other
R0_dietrich28_faithful_groupkfold,nb09a;cell=R0,buildings_v2,0.684524676294238,598595,21,189,7143,2960,588303,False,False,other,other
R1_groupkfold,nb09a;cell=R1,buildings_v2,0.6845246644145762,598595,21,189,7143,2960,588303,False,False,other,other
R5_RF-200_dietrich28,nb09a;cell=R5,buildings_v2,0.6845246638378937,598595,21,189,7143,2960,588303,False,False,other,other
B3_logratio_VV,unsupervised_logratio;sensor=sar;label=VV;direction=-logratio,buildings_v2,0.681149122463606,598595,21,5802,1530,293496,297767,False,False,SAR_unsupervised,SAR
E7b_NearestCentroid,probabilistic;classifier=NearestCentroid,buildings_v2,0.6782506463974484,387066,15,1026,1069,78011,306960,False,False,other,other
NB08b_xBD_RGB_LightGBM,dataset=xBD;feature_set=RGB;classifier=LightGBM,buildings_v2,0.6769932669219609,70931,19,13257,9302,15766,32606,False,False,MS_only,MS
NB08b_BDA_CARD_LightGBM,dataset=BDA;feature_set=CARD;classifier=LightGBM,buildings_v2,0.6749668580436796,368288,21,3005,3426,86712,275145,False,False,other,other
R0c_roll7_baseline+assessment,nb09a;cell=R0c,buildings_v2,0.6748244391773917,598595,21,144,7188,2688,588575,False,False,other,other
R0c_roll13_baseline+assessment,nb09a;cell=R0c,buildings_v2,0.6748244371013341,598595,21,144,7188,2688,588575,False,False,other,other
ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,buildings_v2,0.6705605087962279,598595,21,641,6691,33784,557479,False,False,multimodal_all,multimodal
NB08b_xBD_RGB_ExtraTrees,dataset=xBD;feature_set=RGB;classifier=ExtraTrees,buildings_v2,0.6687834585536423,70931,19,10401,12158,10630,37742,False,False,MS_only,MS
NB08b_BDA_COH_DROP+RGB+CARD_GBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=GBM,buildings_v2,0.6678098875632619,205942,12,78,6066,1613,198185,False,False,SAR_coh_unsupervised,SAR
B3_logratio_VH,unsupervised_logratio;sensor=sar;label=VH;direction=-logratio,buildings_v2,0.6671137775693625,598595,21,5577,1755,287318,303945,False,False,SAR_unsupervised,SAR
NB08b_BDA_RGB_XGBoost,dataset=BDA;feature_set=RGB;classifier=XGBoost,buildings_v2,0.6614973072304127,598595,21,0,7332,0,591263,False,True,MS_only,MS
L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,buildings_v2,0.660706416281496,310131,19,4866,1453,150200,153612,False,False,other,other
B3_logratio_NDVI,unsupervised_logratio;sensor=optical;label=NDVI;direction=-logratio,buildings_v2,0.660706416281496,310131,19,4866,1453,150200,153612,False,False,MS_unsupervised,MS
NB08b_xBD_RGB_UISEM_voting,dataset=xBD;feature_set=RGB;classifier=UISEM_voting,buildings_v2,0.6601537285910077,70931,19,7582,14977,6294,42078,False,False,MS_only,MS
NB08b_xBD_RGB_RF-200,dataset=xBD;feature_set=RGB;classifier=RF-200,buildings_v2,0.6591889541265823,70931,19,8314,14245,7574,40798,False,False,MS_only,MS
R0b_prepost_single_card_groupkfold,nb09a;cell=R0b,buildings_v2,0.6589429367388439,598595,21,183,7149,2956,588307,False,False,other,other
NB08b_BDA_RGB_GBM,dataset=BDA;feature_set=RGB;classifier=GBM,buildings_v2,0.6586281002167219,598595,21,10,7322,48,591215,False,False,MS_only,MS
E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,buildings_v2,0.6572826497317478,387066,15,40,2055,96,384875,False,False,multimodal_all,multimodal
CLF_F7_RF_200,classifier=RF_200;parquet=F7,buildings_v2,0.6567387343439073,480313,19,211,6975,18873,454254,False,False,multimodal_all,multimodal
ABL_FUSION_MS_COH_ALL,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7,buildings_v2,0.6567387181669163,480313,19,211,6975,18873,454254,False,False,multimodal_all,multimodal
NB08b_BDA_RGB+CARD_XGBoost,dataset=BDA;feature_set=RGB+CARD;classifier=XGBoost,buildings_v2,0.6561671097475961,598595,21,9,7323,63,591200,False,False,multimodal_SAR+MS,multimodal
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LightGBM,buildings_v2,0.6557904534198029,205942,12,2467,3677,28282,171516,False,False,SAR_coh_unsupervised,SAR
E7_LogReg,non_tree;classifier=LogReg;features=all_multimodal,buildings_v2,0.6551310950496604,387066,15,1309,786,144015,240956,False,False,multimodal_all,multimodal
NB08b_xBD_RGB_GBM,dataset=xBD;feature_set=RGB;classifier=GBM,buildings_v2,0.6528220969725271,70931,19,7185,15374,6041,42331,False,False,MS_only,MS
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=XGBoost,buildings_v2,0.652526431252857,205942,12,27,6117,46,199752,False,False,SAR_coh_unsupervised,SAR
NB08b_xBD_RGB_XGBoost,dataset=xBD;feature_set=RGB;classifier=XGBoost,buildings_v2,0.6524126952169857,70931,19,7449,15110,6431,41941,False,False,MS_only,MS
B4_step1_card,unsupervised_combined;step=step1_card;n_scores=14,buildings_v2,0.6513286371789955,598595,21,5032,2300,294266,296997,False,False,other,other
L2b_bldg_reliable,plausibility_standalone;signal=bldg_reliable;higher_is_damage=True,buildings_v2,0.6489069958399012,598595,21,6854,478,376630,214633,False,False,other,other
B3_logratio_SAVI,unsupervised_logratio;sensor=optical;label=SAVI;direction=-logratio,buildings_v2,0.648713904783242,310131,19,4772,1547,150294,153518,False,False,MS_unsupervised,MS
R3b_card_only,nb09a;cell=R3b,buildings_v2,0.6485729126788363,480313,19,20,7166,13,473114,False,False,SAR_card_only,SAR
NB08b_BDA_COH_DROP+RGB_GBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=GBM,buildings_v2,0.6484560213106905,205942,12,74,6070,1822,197976,False,False,SAR_coh_unsupervised,SAR
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=ExtraTrees,buildings_v2,0.6475965151072114,205942,12,1551,4593,10745,189053,False,False,SAR_coh_unsupervised,SAR
R4b_tier0_card,nb09a;cell=R4b,buildings_v2,0.6470752317798374,93247,4,111,4980,448,87708,False,False,other,other
R4_tier0_dietrich28,nb09a;cell=R4,buildings_v2,0.6470752295516843,93247,4,111,4980,448,87708,False,False,other,other
CLF_A17_RF_200,classifier=RF_200;parquet=A17,buildings_v2,0.6465688189272442,598595,21,638,6694,33787,557476,False,False,multimodal_all,multimodal
ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,buildings_v2,0.64656881442912,598595,21,638,6694,33787,557476,False,False,multimodal_all,multimodal
NB08b_BDA_COH_DROP_LogReg,dataset=BDA;feature_set=COH_DROP;classifier=LogReg,buildings_v2,0.6458498031724311,21434,12,867,564,7009,12994,False,False,SAR_coh_unsupervised,SAR
NB08b_BDA_COH_DROP+RGB_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB;classifier=ExtraTrees,buildings_v2,0.6443329340596242,205942,12,2163,3981,21025,178773,False,False,SAR_coh_unsupervised,SAR
